City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Mudgal,IN,2021-11-24 21:24:44,16.0167,76.4333,71.42,88,34,7.76
278,Saint-Sebastien-Sur-Loire,FR,2021-11-24 21:24:44,47.2077,-1.5033,39.04,88,0,5.75
279,Dingle,PH,2021-11-24 21:24:46,10.9995,122.6711,76.75,93,97,6.96
280,Zyryanka,RU,2021-11-24 21:24:46,65.75,150.85,-12.8,96,100,9.22
281,Longyearbyen,SJ,2021-11-24 21:24:48,78.2186,15.6401,3.04,66,40,8.05
282,Bonthe,SL,2021-11-24 21:24:48,7.5264,-12.505,80.33,80,60,6.29
283,Mount Isa,AU,2021-11-24 21:24:49,-20.7333,139.5,65.97,88,75,8.05
284,Alihe,CN,2021-11-24 21:24:49,50.5667,123.7167,10.67,84,100,3.78
285,Chuy,UY,2021-11-24 21:24:50,-33.6971,-53.4616,76.26,46,0,6.85
286,Elko,US,2021-11-24 21:20:41,41.0002,-115.5012,39.63,39,0,3.0
287,Paamiut,GL,2021-11-24 21:24:51,61.994,-49.6678,35.31,98,100,19.77
288,Hofn,IS,2021-11-24 21:24:53,64.2539,-15.2082,28.4,56,100,7.94
289,Bilibino,RU,2021-11-24 21:24:53,68.0546,166.4372,-8.41,89,100,0.65
290,Fairbanks,US,2021-11-24 21:24:54,64.8378,-147.7164,-7.4,74,20,0.0
291,Iqaluit,CA,2021-11-24 21:24:54,63.7506,-68.5145,28.13,68,90,28.01
